dept_code,course_code,course_name,credits,type
AE,AS5590,Dynamic soaring,9,Theory
AE,AS5191,DD Project,20,Practical
AE,AS4546,Undergraduate Research - II,9,Practical
AE,AS4999,Minor Seminar,3,
AE,AS1300*,Thermodynamics for Aerospace Engineering,11,Theory
AE,MA,Mathematics,9,Theory
AE,AS1020,Fluid Mechanics,11,Theory
AE,AS2010,Basic Strength of Materials,11,Theory
AE,AS5330,Computational Aerodynamics,9,Theory
AE,AS6340,Combustion and  Flow Diagnostics,9,Theory
AE,AS5110,Laboratory I,3,Lab
AE,AS5950,Continuum Mechanics,9,Theory
AE,AS5960,Advanced Strength of Materials,9,Theory
AE,AS4590,Project I,0,Practical
AE,AS4600,Project II,14,Practical
AE,AS5150*,Project Phase II,27,Practical
AE,AE5380,Weapon Systems,9,Theory
AE,AE5560,Ramjet,9,Theory
AE,AE6890,Theory of Composite Materials,9,Theory
AE,AS3500,Industrial Training Summer,0,Oral
AE,AS3530,Propulsion Laboratory,3,Lab
AE,AS3740,Experimental Stress Analysis,9,Theory
AE,AS3760,Stress Analysis Laboratory,3,Lab
AE,AS3820,Vibration in Aircraft & Missiles,9,Theory
AE,AS4010,Aerospace Materials & Manufacturing,9,Theory
AE,AS4020,Industrial Lecture,1,Oral
AE,AS4310,Detailed Design & Manufacture,9,Theory
AE,AS4330,Design Project II,2,Theory
AE,AS4530,Design Project II,3,Lab
AE,AS4560,Project,6,Oral
AE,AS5310,Obj. Oriented Prog. for Sci. & Engrs.,9,Theory
AE,AS5320,Boundary Layer Theory,9,Theory
AE,AS5340,Advanced Flight Mechanics,9,Theory
AE,AS5400,Theory & Comptn of Vortex Domin. Flows,9,Theory
AE,AS5620,Theory and  Design  of Gas Turbines,9,Theory
AE,AS5630,Performance of Gas Turbines,9,Theory
AE,AS5640,"Combustion, Explosion and  Detonation",9,Theory
AE,AS5650,Multiphase Flow,9,Theory
AE,AS5660,Hypersonic Airbreathing Propulsion,9,Theory
AE,AS5670,Transport Processes  in Reacting flows,9,Theory
AE,AS5680,High Temperature Gas Dynamics,9,Theory
AE,AS5690,Radiation Heat Transfer,9,Theory
AE,AS5700,M.Tech Seminar,1,Theory
AE,AS5860,Composite Structures,9,Theory
AE,AS5870,Energy Methods in Structural Analysis,9,Theory
AE,AS5920,Dynamics of Elastic Systems,9,Theory
AE,AS5930,Elastic Stability,9,Theory
AE,AS5940,Non Linear Behaviour of Plates and Shells,9,Theory
AE,AS6040,Adv.course in Turbulent Flows & their Computation,9,Theory
AE,AS6300,Theory & Comp. of Vortex Dominated Flows,9,Theory
AE,AS6310,System Simulation and  Process Optimization,9,Theory
AE,AS6320,Acoustic Instabilities in Aerospace Prop,9,Theory
AE,ID5050,Advanced Engineering Analysis,9,Theory
AE,AS5440,"Hydrodynamic Stability,Transition and Flow Control",9,Theory
AE,AS5470,Unsteady Aerodynamis of Moving Bodies,9,Theory
AE,AS6015,Aerodynamics of Missiles and Launch Vehicles,9,Theory
AE,AS2080,Vibrations,10,Theory
AE,AS6342,Spectroscopic Reactive Flow Diagnostics,9,Theory
AE,AS2510,Low Speed Lab,5,Lab
AE,AS2520,Propulsion Lab,3,Lab
